"tower","calls_ratio","sms_ratio","vol_ratio","calls_ratio_var","sms_ratio_var","vol_ratio_var","calls_entropy","sms_entropy","sms2calls_ratio","calls_isolation","sms_isolation","og_calls_work_ratio","og_sms_work_ratio","og_vol_work_ratio","ic_calls_work_ratio","ic_sms_work_ratio","ic_vol_work_ratio","og_calls_peak_ratio","og_sms_peak_ratio","og_vol_peak_ratio","ic_calls_peak_ratio","ic_sms_peak_ratio","ic_vol_peak_ratio","og_calls_week_ratio","og_sms_week_ratio","og_vol_week_ratio","ic_calls_week_ratio","ic_sms_week_ratio","ic_vol_week_ratio","dist2d","calls_dist_mean","sms_dist_mean","calls2d_ratio","sms2d_ratio"
1,1.30910670624504,0.811598826483389,0.746923903570539,0.0559890570994813,0.200233403842498,0.104178927416351,7.27470986956859,7.33297311325972,0.824742557827863,1544,1295,0.0422740488358532,0.00943896389146612,0.00424939278814534,0.0474396715976089,0.0100373750687499,0.00253175684052043,0.712167548984456,0.834971832541699,0.346469888011834,0.901912936848559,1.35836660013307,0.555081306501721,0.265418499106905,0.277790127430746,0.286694777265672,0.305702679717718,0.290179966157898,0.281974520311596,8.13021791127725,17.6002061667048,16.7164375817297,0.82620717530631,0.67439267799392
2,1.28371768302175,0.791942020280709,1.18808610170401,0.00713596647660077,0.000308041834390504,0.000789275428930648,6.53456749221362,8.06481040575138,0.420490375220949,1607,1597,0.00663240876783437,0.0354464021403422,0.000611428041319493,0.0053896017728346,0.0117340777637421,0.000651308007511243,1.19142672274345,0.791597375502676,3.14072783584979,3.59284386150058,1.15024524721635,6.34590215020255,0.272946054996607,0.284969236305859,0.247299842753229,0.270157271476883,0.28201257476459,0.248552216995239,8.05233821788525,12.8502531333461,17.0326553861433,0.898074921547552,0.850691527947221
3,1.34846656028104,1.19933724839506,1.05910676086833,0.0100768835908844,0.0783595395251126,0.0193762414235879,8.31811758246342,7.91724421282675,0.738661344543813,1605,1581,0.0251884019254672,0.018065471481388,0.00495233133022684,0.045729321615446,0.0314901170834956,0.00471747085951953,1.09518840252708,0.812506524689425,0.226554753840868,0.353197423037011,0.222984690547672,0.508973649066806,0.205739057597816,0.311138875799301,0.243534000817467,0.202481071005963,0.385602401186356,0.357300793821228,7.94305835448392,25.9365984568542,17.8177988866993,0.770431185632404,0.760280335699718
4,1.33458011586846,0.678190481678452,1.06297806778607,0.000536355797105039,0.00487635726258914,0.0016312456279997,7.6204424497051,7.35670560496739,0.211137372383117,1605,1583,0.00536944450067135,0.0490935797724616,0.00411366438781854,0.0045122107671627,0.0449781412210218,0.00423393871798037,3.98986281002906,1.01335926466162,0.516540021188763,7.77256709135267,0.893007851246617,0.518786683570456,0.272444120048278,0.260331844657931,0.259733727175286,0.271097813792409,0.261754352505384,0.255924751169093,7.14530393744487,27.2025404411282,14.1948840388332,0.763958200345786,0.859141597441369
5,1.01779249323021,0.971259268543684,0.777251372005897,0.0403067124171407,0.0187440659310091,0.0144855183043482,8.07944189606663,8.19717984967221,2.15298972411956,1610,1601,0.0600298594177667,0.00792395531623787,0.0045348311390654,0.0502253542169875,0.0119424157788012,0.00294947232276886,0.642699544014014,1.76917197452229,0.32389219441954,0.5948745293842,1.31465696133831,0.237159952134025,0.226016219923695,0.288997097057546,0.459453059919848,0.512715404542804,0.30756519188651,0.579672700762934,6.79761422294898,23.824408095772,16.5634928166618,0.795643807503675,0.844500828367743
6,0.518000228966722,0.855567099792736,0.984126537781575,0.53265408655875,0.0330373221088733,0.00335804174329002,6.74556273517692,7.20738955767152,3.1462535339637,1607,1601,0.0690877068426143,0.0244912910305004,0.000879697208562468,0.0283827553612153,0.00945055517823304,0.00080172245191848,0.219936368717486,0.407395639477706,2.6858134000242,1.70482204052997,1.16334040578173,3.17275131047919,0.331075312665941,0.288404374307355,0.280887450843578,0.329539594526277,0.288615296081761,0.276430808723606,6.90162360024103,20.0635564183818,22.915679089088,0.808487687950518,0.742676647842426
7,0.691654101634133,0.74964627408705,0.717504764979868,NA,NA,NA,8.53480784035484,7.68847615270631,1.31109147149801,1521,1295,2.68599204595669,4.22168295697113,0.177207538045367,1.86431802436937,2.68678412612855,0.122800338307547,1.15721608456175,0.432608090124106,3.26327387198321,1.22925950507253,0.64246448066277,1.97327598507858,0,0,0,0,0,0,6.32762439760254,32.1073614586844,16.9252701378778,0.722563840212419,0.831708262207753
8,0.855115390648873,0.84906391954286,1.10359955092769,0.0291024903326645,0.000487086256895414,0.00138206233767547,8.52580619208735,8.04811362733489,0.709392786607107,1610,1604,0.0125206049600361,0.0089860146132045,0.000811312592736942,0.0082519434286134,0.00756205327096055,0.000652794816330908,1.15502897737895,1.58695887641261,1.13999695106459,1.16081818727131,5.16222978382706,2.65149335525414,0.402352822660817,0.262168601939658,0.235151423576532,0.259505594299699,0.263105691186925,0.224557122762497,6.01395274132669,26.7065306102881,17.5730187374819,0.782594288280384,0.832564906111953
9,0.752612605361415,0.864451500236565,1.0412242577581,0.0299745167003781,0.000952053478768618,0.0210189650089809,8.47394721704955,8.02473991497754,0.831963920021161,1606,1598,0.0138516594209322,0.0074643493442896,0.000827009768378473,0.00753200527645494,0.0098371998613206,0.000595590529097041,2.21209681354609,1.86796627149775,1.31103809747321,2.54817496429639,1.52895258068274,1.49400700719159,0.430825476624991,0.273572166993696,0.267460641529605,0.270192769468106,0.277677850903836,0.24302899942353,6.28131195194381,28.4593426016098,19.1063909139496,0.759914497139349,0.842765660072116
10,0.576596131520403,0.894495532602006,0.635705256383905,0.136711537257567,0.0262561170358227,0.0778801917526109,8.31774966049586,7.80403746015783,2.47857562168321,1610,1606,0.0569992232853782,0.0093463986661887,0.00185938080142669,0.0257560024260572,0.00890456655552978,0.000904722119822721,0.237631691343964,0.352671593008384,1.34218600191755,1.54205799215829,1.1292369198679,1.69520453115167,0.449333908369827,0.288250123973007,0.408042093550455,0.417558060423514,0.292433535533262,0.290527786965944,6.50210695408492,31.147935423731,17.3351834444408,0.73539931647168,0.802617529358587
